Match ID,Match,Venue,Scorer Version,Substitutions Applied,Substitution Details,Innings Order,Batting Team,Batting Team ID,Batting Manager ID,Over Number,Ball Number,Valid Ball?,Batter,Batter ID,Batter Order,Non Strike Batter,Non Strike Batter ID,Bowler,Bowler ID,Bowling Team,Bowling Team ID,Bowling Manager ID,Runs Bat,Runs Extra,Extras Type,Dismissed Batter,Dismissed Batter ID,Progressive Runs,Progressive Wickets,Match Toss,Match Result
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,0,No,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,0,1,Wide,None,,1,0,Pandiya Associates,Pandiya Associates won
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,1,Yes,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,4,0,None,None,,5,0,Pandiya Associates,Pandiya Associates won
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,1,No,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,0,1,Wide,None,,6,0,Pandiya Associates,Pandiya Associates won
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,1,No,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,0,1,Wide,None,,7,0,Pandiya Associates,Pandiya Associates won
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,2,Yes,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,6,0,None,None,,13,0,Pandiya Associates,Pandiya Associates won
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,3,Yes,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,4,0,None,None,,17,0,Pandiya Associates,Pandiya Associates won
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,3,No,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,0,1,Wide,None,,18,0,Pandiya Associates,Pandiya Associates won
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,4,Yes,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,6,0,None,None,,24,0,Pandiya Associates,Pandiya Associates won
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,5,Yes,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,0,0,None,None,,24,0,Pandiya Associates,Pandiya Associates won
M9,MHK Royales vs Pandiya Associates,Ground 1,1.3.0,1,Pandiya Associates: Baloch -> Yousuf (from Naan CC),1,Pandiya Associates,c9d4d006b98c5683,8578b7ea27d3db7a,0,6,Yes,Owais,8578b7ea27d3db7a,1,Umar,b297a17721f04c9e,Hassan,6189a26dbc8dcefb,MHK Royales,4971c062ff605430,6189a26dbc8dcefb,6,0,None,None,,30,0,Pandiya Associates,Pandiya Associates won
