Match ID,Match,Venue,Scorer Version,Substitutions Applied,Substitution Details,Innings Order,Batting Team,Batting Team ID,Batting Manager ID,Over Number,Ball Number,Valid Ball?,Batter,Batter ID,Batter Order,Non Strike Batter,Non Strike Batter ID,Bowler,Bowler ID,Bowling Team,Bowling Team ID,Bowling Manager ID,Runs Bat,Runs Extra,Extras Type,Dismissed Batter,Dismissed Batter ID,Progressive Runs,Progressive Wickets,Match Toss,Match Result
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,1,Yes,Ahmad,a22739127524352c,1,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,0,0,None,Ahmad,a22739127524352c,0,1,Quadra Nemesis,MHK Royales won
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,2,Yes,Osama,4b4dfcdfa0d2c202,3,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,0,0,None,None,,0,1,Quadra Nemesis,MHK Royales won
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,2,No,Osama,4b4dfcdfa0d2c202,3,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,0,1,Wide,None,,1,1,Quadra Nemesis,MHK Royales won
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,2,No,Osama,4b4dfcdfa0d2c202,3,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,0,1,Wide,None,,2,1,Quadra Nemesis,MHK Royales won
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,2,No,Osama,4b4dfcdfa0d2c202,3,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,0,1,Wide,None,,3,1,Quadra Nemesis,MHK Royales won
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,2,No,Osama,4b4dfcdfa0d2c202,3,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,0,1,Wide,None,,4,1,Quadra Nemesis,MHK Royales won
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,2,No,Osama,4b4dfcdfa0d2c202,3,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,0,1,Wide,None,,5,1,Quadra Nemesis,MHK Royales won
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,2,No,Osama,4b4dfcdfa0d2c202,3,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,0,1,Wide,None,,6,1,Quadra Nemesis,MHK Royales won
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,3,Yes,Osama,4b4dfcdfa0d2c202,3,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,0,0,None,None,,6,1,Quadra Nemesis,MHK Royales won
M2,MHK Royales vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,4,Yes,Osama,4b4dfcdfa0d2c202,3,Sanawar,3e3b19e772e1d7e3,Hassan,032c752dc2d53336,MHK Royales,8a7bb34d0a736b7a,032c752dc2d53336,1,0,None,Sanawar,3e3b19e772e1d7e3,7,2,Quadra Nemesis,MHK Royales won
