Match ID,Match,Venue,Scorer Version,Substitutions Applied,Substitution Details,Innings Order,Batting Team,Batting Team ID,Batting Manager ID,Over Number,Ball Number,Valid Ball?,Batter,Batter ID,Batter Order,Non Strike Batter,Non Strike Batter ID,Bowler,Bowler ID,Bowling Team,Bowling Team ID,Bowling Manager ID,Runs Bat,Runs Extra,Extras Type,Dismissed Batter,Dismissed Batter ID,Progressive Runs,Progressive Wickets,Match Toss,Match Result
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,1,Yes,Azen,ab6174c7950eb199,1,Qambar,eee756955468e476,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,0,0,None,None,,0,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,1,No,Azen,ab6174c7950eb199,1,Qambar,eee756955468e476,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,0,1,Wide,None,,1,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,2,Yes,Azen,ab6174c7950eb199,1,Qambar,eee756955468e476,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,1,0,None,None,,2,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,2,No,Qambar,eee756955468e476,2,Azen,ab6174c7950eb199,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,0,1,Wide,None,,3,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,2,No,Qambar,eee756955468e476,2,Azen,ab6174c7950eb199,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,0,1,Wide,None,,4,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,3,Yes,Qambar,eee756955468e476,2,Azen,ab6174c7950eb199,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,6,0,None,None,,10,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,3,No,Qambar,eee756955468e476,2,Azen,ab6174c7950eb199,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,0,1,Wide,None,,11,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,3,No,Qambar,eee756955468e476,2,Azen,ab6174c7950eb199,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,0,1,Wide,None,,12,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,4,Yes,Qambar,eee756955468e476,2,Azen,ab6174c7950eb199,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,4,0,None,None,,16,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,5,Yes,Qambar,eee756955468e476,2,Azen,ab6174c7950eb199,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,0,0,None,None,,16,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,6,Yes,Qambar,eee756955468e476,2,Azen,ab6174c7950eb199,Owais,29048bbee8105098,Pandiya Associates,5e07309bd856551a,29048bbee8105098,6,0,None,None,,22,0,Naan CC,Naan CC won
M1,Naan CC vs Pandiya Associates,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,1,Yes,Azen,ab6174c7950eb199,1,Qambar,eee756955468e476,Umar,0e88b0b4606c391e,Pandiya Associates,5e07309bd856551a,29048bbee8105098,1,0,None,None,,23,0,Naan CC,Naan CC won
