Match ID,Match,Venue,Scorer Version,Substitutions Applied,Substitution Details,Innings Order,Batting Team,Batting Team ID,Batting Manager ID,Over Number,Ball Number,Valid Ball?,Batter,Batter ID,Batter Order,Non Strike Batter,Non Strike Batter ID,Bowler,Bowler ID,Bowling Team,Bowling Team ID,Bowling Manager ID,Runs Bat,Runs Extra,Extras Type,Dismissed Batter,Dismissed Batter ID,Progressive Runs,Progressive Wickets,Match Toss,Match Result
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,1,Yes,Qambar,eee756955468e476,1,Azen,ab6174c7950eb199,Osama,4b4dfcdfa0d2c202,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,0,None,None,,0,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,2,Yes,Qambar,eee756955468e476,1,Azen,ab6174c7950eb199,Osama,4b4dfcdfa0d2c202,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,4,0,None,None,,4,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,3,Yes,Qambar,eee756955468e476,1,Azen,ab6174c7950eb199,Osama,4b4dfcdfa0d2c202,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,4,0,None,None,,8,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,4,Yes,Qambar,eee756955468e476,1,Azen,ab6174c7950eb199,Osama,4b4dfcdfa0d2c202,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,4,0,None,None,,12,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,5,Yes,Qambar,eee756955468e476,1,Azen,ab6174c7950eb199,Osama,4b4dfcdfa0d2c202,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,2,0,None,None,,14,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,6,Yes,Qambar,eee756955468e476,1,Azen,ab6174c7950eb199,Osama,4b4dfcdfa0d2c202,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,0,None,Qambar,eee756955468e476,14,1,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,1,Yes,Azen,ab6174c7950eb199,2,Hashir,3fa0bb84f0b4069c,Sanawar,3e3b19e772e1d7e3,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,0,None,None,,14,1,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,2,Yes,Azen,ab6174c7950eb199,2,Hashir,3fa0bb84f0b4069c,Sanawar,3e3b19e772e1d7e3,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,0,None,None,,14,1,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,2,No,Azen,ab6174c7950eb199,2,Hashir,3fa0bb84f0b4069c,Sanawar,3e3b19e772e1d7e3,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,1,Wide,None,,15,1,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,2,No,Azen,ab6174c7950eb199,2,Hashir,3fa0bb84f0b4069c,Sanawar,3e3b19e772e1d7e3,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,1,Wide,None,,16,1,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,3,Yes,Azen,ab6174c7950eb199,2,Hashir,3fa0bb84f0b4069c,Sanawar,3e3b19e772e1d7e3,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,0,None,None,,16,1,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,3,No,Azen,ab6174c7950eb199,2,Hashir,3fa0bb84f0b4069c,Sanawar,3e3b19e772e1d7e3,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,1,Wide,None,,17,1,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,4,Yes,Azen,ab6174c7950eb199,2,Hashir,3fa0bb84f0b4069c,Sanawar,3e3b19e772e1d7e3,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,0,None,Azen,ab6174c7950eb199,17,2,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,1,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,5,Yes,Yousuf,84667e6c8bd740e3,4,Hashir,3fa0bb84f0b4069c,Sanawar,3e3b19e772e1d7e3,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,0,None,Yousuf,84667e6c8bd740e3,17,3,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,2,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,0,No,Osama,4b4dfcdfa0d2c202,1,Ahmad,a22739127524352c,Azen,ab6174c7950eb199,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,1,No Ball,None,,1,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,2,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,0,No,Osama,4b4dfcdfa0d2c202,1,Ahmad,a22739127524352c,Azen,ab6174c7950eb199,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,1,Wide,None,,2,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,2,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,1,Yes,Osama,4b4dfcdfa0d2c202,1,Ahmad,a22739127524352c,Azen,ab6174c7950eb199,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,0,None,None,,3,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,2,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,2,Yes,Ahmad,a22739127524352c,2,Osama,4b4dfcdfa0d2c202,Azen,ab6174c7950eb199,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,0,None,None,,3,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,2,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,3,Yes,Ahmad,a22739127524352c,2,Osama,4b4dfcdfa0d2c202,Azen,ab6174c7950eb199,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,6,0,None,None,,9,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,2,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,4,Yes,Ahmad,a22739127524352c,2,Osama,4b4dfcdfa0d2c202,Azen,ab6174c7950eb199,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,0,None,None,,10,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,2,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,5,Yes,Osama,4b4dfcdfa0d2c202,1,Ahmad,a22739127524352c,Azen,ab6174c7950eb199,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,0,None,None,,10,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,2,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,5,No,Osama,4b4dfcdfa0d2c202,1,Ahmad,a22739127524352c,Azen,ab6174c7950eb199,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,0,1,Wide,None,,11,0,Naan CC,Quadra Nemesis won
M4,Naan CC vs Quadra Nemesis,Ground 1,1.1.0,0,None,2,Quadra Nemesis,dedfeeda5fe012df,4b4dfcdfa0d2c202,0,6,Yes,Osama,4b4dfcdfa0d2c202,1,Ahmad,a22739127524352c,Azen,ab6174c7950eb199,Naan CC,77cd285d020c1497,3fa0bb84f0b4069c,1,0,None,None,,12,0,Naan CC,Quadra Nemesis won
